DISTRICT,YEAR,MONTH,DAY_OF_WEEK,HOUR,Median Age,White Alone,Black / African American,Hispanic,Asian Alone,Other Races,Less than High School,High School Graduate,Some College,Bachelor's Degree or more,Poverty rate,AIRCRAFT,ARSON,ASSAULT,ASSEMBLY OR GATHERING VIOLATIONS,AUTO THEFT,BALLISTICS,BIOLOGICAL THREAT,BOMB HOAX,BURGLARY,CONFIDENCE GAMES,COUNTERFEITING,DISORDERLY CONDUCT,DRUG VIOLATION,EMBEZZLEMENT,EVADING FARE,EXPLOSIVES,FIRE RELATED REPORTS,FIREARM DISCOVERY / VIOLATIONS,FRAUD,GAMBLING,HARASSMENT,HARBOR RELATED INCIDENTS,HOME INVASION,HOMICIDE,HUMAN TRAFFICKING,INVESTIGATE PERSON,INVESTIGATE PROPERTY,LANDLORD/TENANT DISPUTES,LARCENY,LICENSE PLATE RELATED INCIDENTS,LICENSE VIOLATION,LIQUOR VIOLATION,MANSLAUGHTER,MEDICAL ASSISTANCE,MISSING PERSON REPORTED / LOCATED,MOTOR VEHICLE ACCIDENT RESPONSE,OFFENSES AGAINST CHILD / FAMILY,OPERATING UNDER THE INFLUENCE,OTHER,PHONE CALL COMPLAINTS,POLICE SERVICE INCIDENTS,PRISONER RELATED INCIDENTS,PROPERTY LOST / FOUND,PROPERTY RELATED DAMAGE,PROSTITUTION,RESTRAINING ORDER VIOLATIONS,ROBBERY,SEARCH WARRANTS,SERVICE,TOWED,VANDALISM,VERBAL DISPUTES,VIOLATIONS,WARRANT ARRESTS
A1,2015,9.185894119675806,3.9977582341783067,12.467149508535954,32.66126999515269,0.7149094037809015,0.02715799806107611,0.06029195346582646,0.17263555501696556,0.024779568589432865,0.10650890693165294,0.07675266602035871,0.09491594764905478,0.7219315559864277,0.1655352399418323,0.0,0.07270964614638875,13.596703829374697,1.187590887057683,1.9389238972370335,0.024236548715462918,0.0,0.048473097430925836,2.060106640814348,1.3572467280659235,0.58167716917111,2.90838584585555,10.033931168201649,0.290838584585555,0.41202132816286957,0.0,0.4847309743092584,0.9209888511875909,3.005332040717402,0.0,0.6059137178865729,0.024236548715462918,0.0,0.024236548715462918,0.0,4.798836645661658,4.459524963645177,0.1211827435773146,27.07222491517208,0.1211827435773146,2.1570528356761995,0.6543868153174988,0.0,5.404750363548231,0.896752302472128,10.349006301502666,0.048473097430925836,0.1211827435773146,8.337372758119244,0.0,3.829374697043141,0.19389238972370335,11.173048957828405,0.2423654871546292,0.16965584100824044,0.2666020358700921,2.593310712554532,0.3877847794474067,0.048473097430925836,4.726126999515269,5.3078041686863795,0.5574406204556471,1.6238487639360155,5.3078041686863795
A1,2016,6.5460436918574265,4.044214487300094,12.437754782063342,32.11583452211127,0.7124388017118403,0.02645397051830718,0.060894127436994766,0.17692299096528769,0.023588064669519737,0.09300449358059915,0.08151557299096529,0.09557995720399429,0.7302348074179743,0.16025841654778888,0.0,0.07132667617689016,19.424631478839753,1.2125534950071326,2.4488825487398955,0.1902044698050404,0.0,0.14265335235378032,3.185924869234427,3.8040893961008084,1.2838801711840226,3.257251545411317,14.455539705183071,0.3804089396100808,0.4041844983357109,0.0,1.0699001426533523,1.1412268188302426,5.801236329053733,0.0,1.854493580599144,0.07132667617689016,0.0,0.02377555872563005,0.0,9.533999048977652,10.199714693295293,0.16642891107941035,41.41702330004755,0.0475511174512601,5.349500713266762,0.5943889681407514,0.0,13.552068473609129,1.4503090822634332,15.287684260580125,0.07132667617689016,0.23775558725630053,12.054208273894437,0.07132667617689016,3.9467427484545885,0.2139800285306705,15.929624346172137,0.49928673323823114,0.3090822634331907,0.6894912030432715,3.8516405135520686,0.26153114598193056,0.0475511174512601,8.773181169757489,8.464098906324299,1.307655729909653,1.6880646695197337,11.222063718497385
A1,2017,6.707127734650671,4.110091743119266,12.365661861074706,32.26615391808491,0.7038498223302787,0.02812282588367309,0.07299829343557135,0.1725916401720591,0.022437418178417805,0.09945118758182159,0.07484608191509258,0.09053992893211146,0.7347518000748083,0.1531658874135029,0.0,0.023377594913035347,19.263138208341125,1.3792780998690854,3.0624649336076306,0.09351037965214139,0.046755189826070694,0.07013278473910604,3.413128857303161,3.132597718346737,0.8649710117823078,4.114456704694221,10.847204039648402,0.42079670843463624,0.5143070880867776,0.0,1.145502150738732,0.8883486066953432,5.119693285954741,0.0,2.6650458200860294,0.23377594913035346,0.023377594913035347,0.07013278473910604,0.0,12.016083785300168,11.15111277351786,0.1402655694782121,40.16270806059473,0.07013278473910604,3.413128857303161,0.6545726575649897,0.0,15.77987656629886,1.3792780998690854,17.34617542547223,0.11688797456517673,0.3506639236955302,13.184963530951936,0.0,0.537684682999813,0.32728632878249486,18.44492238638489,0.6078174677389191,0.7247054423040957,0.8415934168692725,4.161211894520291,0.3974191135216009,0.11688797456517673,9.35103796521414,7.4574527772582755,2.0104731625210395,1.0987469609126614,12.647278847952123
A1,2018,6.546260045332784,4.057284154131465,12.550072120337935,33.4359711237815,0.6916670728342836,0.029577478388817365,0.07679432591502668,0.17399096468640796,0.028185143461467724,0.09993553430200479,0.07944010943535038,0.0892317684384771,0.7313925878241678,0.14871303108331801,0.0,0.0,22.16295751333456,1.195512231009748,2.0691557844399484,0.09196247930844215,0.0,0.2758874379253265,3.4945742137208016,3.5865366930292444,0.8966341732573111,3.1037336766599224,9.587088467905096,0.298878057752437,0.3678499172337686,0.0,0.9196247930844216,1.448409049107964,6.920176567960271,0.0,2.184108883575501,0.1839249586168843,0.0,0.04598123965422107,0.0,10.092882104101527,9.656060327386426,0.06897185948133162,40.049659738826556,0.20691557844399486,3.5635460732021333,0.5287842560235424,0.0,16.001471399668937,1.4943902887621852,16.553246275519587,0.04598123965422107,0.16093433878977376,12.299981607504138,0.0,3.5175648335479126,0.298878057752437,17.95567408497333,0.3678499172337686,0.0,0.6897185948133162,3.6784991723376863,0.2528968180982159,0.09196247930844215,8.345594997241125,7.816810741217583,1.5173809085892955,1.4713996689350743,7.586904542946478
A1,2019,6.734545454545454,4.036363636363636,12.659144385026737,33.56094132311527,0.7012283135589308,0.03132101472692858,0.07225619777480263,0.16778994506255485,0.027557314990074324,0.08401567332994783,0.07651611190619084,0.08967499192096394,0.7499460089561886,0.14138137666774386,0.0,0.023082960158810766,23.082960158810767,0.90023544619362,2.6083744979456167,0.1384977609528646,0.023082960158810766,0.04616592031762153,2.7930381792161025,2.262130095563455,0.9233184063524307,1.6158072111167536,8.1482849360602,0.18466368127048613,0.392410322699783,0.0,0.8309865657171875,1.1541480079405382,6.209316282720096,0.0,2.10054937445178,0.18466368127048613,0.0,0.023082960158810766,0.0,10.364249111306034,9.210101103365496,0.1384977609528646,37.509810258067496,0.16158072111167537,5.193666035732423,1.2464798485757815,0.0,17.058307557361154,1.384977609528646,17.82004524260191,0.0,0.1384977609528646,10.248834310511981,0.0,2.9084529800101566,0.3462444023821615,18.350953326254558,0.46165920317621534,0.023082960158810766,0.0,3.0007848206453995,0.23082960158810767,0.09233184063524306,6.855639167166797,6.486311804625825,2.585291537786806,2.262130095563455,3.32394626286875
A1,2020,6.480576809888169,3.959093584461448,12.603884638022366,33.876674236168455,0.6778022502064409,0.032403034682080924,0.06442888109000826,0.18733854252683735,0.03817475227085053,0.08705132122213048,0.06513734516928159,0.08260988852188275,0.7484544797687862,0.15198620974401322,0.04128819157720892,0.12386457473162674,12.551610239471511,0.04128819157720892,2.1882741535920727,0.22708505367464907,0.0,0.06193228736581337,3.1172584640792733,0.9289843104872006,0.47481420313790257,0.8670520231213873,6.502890173410405,0.06193228736581337,0.3096614368290669,0.04128819157720892,0.9289843104872006,0.6606110652353427,5.862923203963666,0.0,1.1147811725846408,0.08257638315441784,0.0,0.0,0.0,7.82411230388109,4.273327828241123,0.16515276630883569,24.73162675474814,0.06193228736581337,2.1469859620148637,0.8876961189099918,0.0,9.083402146985962,0.5780346820809249,8.876961189099918,0.02064409578860446,0.12386457473162674,4.975227085053675,0.02064409578860446,0.16515276630883569,0.08257638315441784,8.298926507018992,0.3509496284062758,0.02064409578860446,0.14450867052023122,2.2502064409578857,0.04128819157720892,0.08257638315441784,5.388109000825764,6.874483897605285,1.5895953757225434,2.766308835672998,0.6193228736581338
A15,2015,9.14726368159204,3.8945273631840798,13.091542288557214,34.0,0.696,0.086,0.11,0.087,0.02,0.0899,0.159,0.131,0.62,0.203,0.0,0.05537711817477018,3.1564957359619004,0.05537711817477018,1.1075423634954036,0.16613135452431055,0.0,0.05537711817477018,1.2182965998449442,0.44301694539816144,0.2768855908738509,0.3876398272233913,4.2086609812825335,0.0,0.16613135452431055,0.0,0.49839406357293164,0.6645254180972422,0.8306567726215528,0.0,0.3322627090486211,0.0,0.0,0.0,0.0,3.654889799534832,0.8860338907963229,0.11075423634954036,7.918927898992137,0.0,0.05537711817477018,0.11075423634954036,0.0,3.7102669177096024,1.2182965998449442,7.808173662642596,0.11075423634954036,0.16613135452431055,2.4919703178646584,0.0,1.1075423634954036,0.05537711817477018,1.8828220179421864,0.22150847269908072,0.0,0.11075423634954036,0.9414110089710932,0.0,0.16613135452431055,2.4919703178646584,4.319415217632074,0.9414110089710932,0.8860338907963229,0.6645254180972422
A15,2016,6.615961435457954,3.869844670594537,13.206748794858061,34.0,0.706,0.084,0.115,0.076,0.018,0.092,0.156,0.126,0.626,0.19,0.0,0.054603035928797644,5.296494485093372,0.0,1.4742819700775363,0.16380910778639293,0.0,0.16380910778639293,1.2558698263623458,0.92825161078956,0.10920607185759529,0.9828546467183575,5.023479305449383,0.10920607185759529,0.054603035928797644,0.0,0.5460303592879764,0.43682428743038115,2.1841214371519055,0.0,1.3104728622911435,0.10920607185759529,0.0,0.0,0.0,6.661570383313312,3.057770012012668,0.054603035928797644,16.107895598995306,0.054603035928797644,0.21841214371519058,0.0,0.0,6.9891885988860984,1.528885006006334,13.486949874413018,0.2730151796439882,0.21841214371519058,3.822212515015835,0.0,3.1123730479414653,0.21841214371519058,4.422845910232609,0.6006333952167741,0.0,0.6552364311455717,0.9828546467183575,0.43682428743038115,0.054603035928797644,5.460303592879764,7.0437916348148955,2.5117396527246916,1.0920607185759528,2.6755487605110844
A15,2017,6.567607003891051,3.8497081712062258,13.32636186770428,35.0,0.732,0.058,0.118,0.072,0.02,0.099,0.147,0.119,0.635,0.18,0.0,0.05290725358446643,6.401777683720438,0.10581450716893286,2.5395481720543884,0.2116290143378657,0.0,0.0,2.5395481720543884,1.2697740860271942,0.4232580286757314,0.370350775091265,4.3383947939262475,0.05290725358446643,0.15872176075339928,0.0,1.0052378181048622,0.370350775091265,1.9575683826252581,0.0,1.7988466218718586,0.2116290143378657,0.0,0.0,0.0,8.941325855774826,3.862229511666049,0.10581450716893286,13.120998888947675,0.10581450716893286,0.15872176075339928,0.05290725358446643,0.0,7.8302735305010325,1.5343103539495264,12.009946563673878,0.2116290143378657,0.10581450716893286,5.608168879953442,0.0,3.4918787365747845,0.10581450716893286,5.02618909052431,0.31744352150679855,0.0,0.5819797894291308,1.1639595788582615,0.10581450716893286,0.10581450716893286,6.877942965980636,6.243055922967039,3.544785990159251,1.3755885931961274,2.380826411300989
A15,2018,6.403031887088343,3.7809722948248825,13.324621014113957,35.0,0.732,0.052,0.118,0.08,0.019,0.084,0.136,0.108,0.672,0.18,0.0,0.0,7.674873802410631,0.051509220150406924,1.184712063459359,0.15452766045122077,0.0,0.0,1.2362212836097661,0.9786751828577316,0.25754610075203466,0.6181106418048831,5.614504996394355,0.0,0.051509220150406924,0.0,0.7726383022561037,0.7726383022561037,1.9573503657154632,0.0,1.9573503657154632,0.051509220150406924,0.0,0.051509220150406924,0.0,7.932419903162666,3.6056454105284845,0.30905532090244153,9.01411352632121,0.15452766045122077,0.30905532090244153,0.051509220150406924,0.0,8.962604306170805,1.9573503657154632,13.495415679406614,0.25754610075203466,0.10301844030081385,4.635829813536623,0.10301844030081385,2.8330071082723807,0.051509220150406924,3.554136190378078,0.30905532090244153,0.0,0.4120737612032554,1.8028227052642423,0.5150922015040693,0.2060368806016277,4.9448851344390645,4.4813021530854025,2.781497888121974,1.2877305037601732,1.0816936231585452
