DISTRICT,MONTH,DAY_OF_WEEK,HOUR,Median Age,White Alone,Black / African American,Hispanic,Asian Alone,Other Races,Less than High School,High School Graduate,Some College,Bachelor's Degree or more,Poverty rate,AGGRAVATED ASSAULT,AIRCRAFT,ARSON,ASSEMBLY OR GATHERING VIOLATIONS,AUTO THEFT,AUTO THEFT RECOVERY,BALLISTICS,BIOLOGICAL THREAT,BOMB HOAX,BURGLARY - NO PROPERTY TAKEN,COMMERCIAL BURGLARY,CONFIDENCE GAMES,COUNTERFEITING,CRIMINAL HARASSMENT,DISORDERLY CONDUCT,DRUG VIOLATION,EMBEZZLEMENT,EVADING FARE,EXPLOSIVES,FIRE RELATED REPORTS,FIREARM DISCOVERY,FIREARM VIOLATIONS,FRAUD,GAMBLING,HARASSMENT,HARBOR RELATED INCIDENTS,HOME INVASION,HOMICIDE,HUMAN TRAFFICKING,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,INVESTIGATE PERSON,INVESTIGATE PROPERTY,LANDLORD/TENANT DISPUTES,LARCENY,LARCENY FROM MOTOR VEHICLE,LICENSE PLATE RELATED INCIDENTS,LICENSE VIOLATION,LIQUOR VIOLATION,MANSLAUGHTER,MEDICAL ASSISTANCE,MISSING PERSON LOCATED,MISSING PERSON REPORTED,MOTOR VEHICLE ACCIDENT RESPONSE,OFFENSES AGAINST CHILD / FAMILY,OPERATING UNDER THE INFLUENCE,OTHER,OTHER BURGLARY,PHONE CALL COMPLAINTS,POLICE SERVICE INCIDENTS,PRISONER RELATED INCIDENTS,PROPERTY FOUND,PROPERTY LOST,PROPERTY RELATED DAMAGE,PROSTITUTION,RECOVERED STOLEN PROPERTY,RESIDENTIAL BURGLARY,RESTRAINING ORDER VIOLATIONS,ROBBERY,SEARCH WARRANTS,SERVICE,SIMPLE ASSAULT,TOWED,VANDALISM,VERBAL DISPUTES,VIOLATIONS,WARRANT ARRESTS
A1,7.033407975991718,4.034134306592369,12.513944549176841,32.98614085306902,0.700315944070446,0.029172720376813874,0.06794396318637169,0.17521160640501876,0.027453710359960498,0.09499451949135947,0.07570131457287323,0.09042541377774739,0.7361185400047255,0.15350669356636654,5.136637465556984,0.006881365262868154,0.05239357535445863,0.9860763917857462,2.0618228864645274,0.32418974946250534,0.12758278201810008,0.01163969166414691,0.10754081335542894,0.0,1.7054034665794102,2.511930823598895,0.8375491891475142,0.3369371755676802,2.644447834476525,9.929156415068137,0.27291970983650143,0.4000724318913294,0.006881365262868154,0.8966214894983587,0.20149323750732037,0.8341288289921832,5.486446285061651,0.0,1.417211582629598,0.13008403284408246,0.0038962658188392246,0.03120151533220514,0.0,0.0,9.10502716653802,8.158306948241895,0.13341660181299483,28.275345015785096,6.881830488790996,0.11154920544819406,3.6373134128659235,0.7610514440887592,0.0,12.813312751245379,0.7317358777572807,0.465554466405453,14.372186449129407,0.05055218060263638,0.18881648816723506,10.183431261005902,0.1950937210440371,0.015328461994249103,2.484162118060741,0.24380959838764749,3.455963550553608,10.800127410246413,0.42165473949133986,0.20786176711549034,0.7694339739720291,1.1101746831045718,0.4386523201860306,3.255942259094644,0.26195827503574515,0.07996381542424429,13.210362772471752,7.239948216620097,7.067827049286275,1.5946395558308308,1.8184164990899898,6.784553402434875
A15,6.990224357230062,3.8260406961641684,13.093500263646527,34.9,0.7196666666666666,0.06383333333333334,0.1135,0.08033333333333333,0.022833333333333334,0.08848333333333334,0.1375,0.11649999999999999,0.6493333333333333,0.1718333333333333,1.771888218881666,0.0,0.03586477715302663,0.07802215309143824,1.2922968476804544,0.20254603212335764,0.12473306538831924,0.0,0.03653103766019385,0.0,0.2280587386821089,0.756478056865974,0.23714681782387403,0.30181709795917344,0.4357313273154027,3.9544111113455007,0.07729540843843312,0.0973032780527587,0.025813171887501197,0.6326295081567609,0.2099323733672026,0.32738254191442934,2.6879933331635346,0.0,1.134007401736758,0.08787055627847919,0.0,0.01730174589675541,0.0,0.0,6.724019376007575,2.9967843273011154,0.15704773637164204,7.1003833533233935,4.771517974629081,0.07864149487322131,0.21711783508659943,0.035861785014068955,0.0,6.840396938558214,0.8600189444443073,0.5227263973073609,12.020389943079223,0.14215742184723815,0.14248045364331258,3.8618448574454827,0.12493805697872389,0.01716974005013564,2.0447293510405546,0.08894846088403037,0.9630556980032657,2.2734961908994102,0.3540845932643313,0.0,0.2390122766971854,1.1117366336330277,0.35435883412306285,0.9445779718003933,0.25305310355794436,0.16654126776067663,3.8347373809084204,4.608553115408491,5.03788543671704,2.5704825202152324,1.191922019850854,1.1927590989144206
A7,6.96722581372578,3.9624415679782525,13.07650057876898,32.86666666666667,0.33383333333333337,0.026833333333333334,0.5604999999999999,0.041166666666666664,0.03816666666666667,0.29741666666666666,0.27799999999999997,0.152,0.25133333333333335,0.18500000000000003,1.706926922119595,0.2201123120255383,0.01816074089310715,0.09174134999378382,1.0422727415474415,0.3728491192286099,0.10559341646993013,0.0,0.018149343272521257,0.0,0.3010108405028426,0.4229414969542676,0.2203466065019087,0.271389489292767,0.4522888494086557,4.0489066715406095,0.057676982490030615,0.08378370026802429,0.0071239372817915965,0.5260966352705815,0.11951894812321662,0.31722663238641274,1.6306217319206793,0.0,0.9698704926755779,0.1877905214499002,0.01069625893363313,0.04336942326220325,0.0,0.0,4.785752087023614,2.0550105713301052,0.25522512770175904,4.062196378045443,2.5819214546575666,0.237538498891374,0.4884454512116148,0.07551594359239945,0.0035263666433926473,7.143408478795233,0.9359596866970724,0.6610619194203674,7.702074131749691,0.09728810648987707,0.24126165058120422,3.6677198512670803,0.05459380428044824,0.0,0.7264705591255775,0.018114785884658265,0.9226175174981509,1.434155050014283,0.23570804261577563,0.0037046092748597805,0.19244206300082822,1.4107698038946974,0.33253887283532996,1.2383252187925293,0.12291133485477403,0.13788135836596047,3.7603953413818254,3.3297431574856104,4.537581073764197,2.676014526429489,1.435600321860042,1.29631708433468
B2,6.929485332916232,3.9135534567771635,13.237799047357242,30.09726664426886,0.22436777270054944,0.3899671820218569,0.263748131675201,0.07966342172560924,0.04244854389247651,0.20636148464263757,0.24702489352702317,0.22305194892770128,0.31970257622729004,0.34878195993864686,5.603448179626419,0.008670733240556488,0.07467672211236803,1.148444241405998,2.729639816721507,0.6254053115691377,0.907930813204441,0.0,0.04208350043105343,0.0,0.5025322057008935,1.0118182323247822,0.5577991141603518,0.6128266320816464,0.9854686898743177,7.695855732184562,0.05088503856066722,0.1454210442531325,0.022009690834987425,0.9573758413211001,0.43724498437108034,1.4125836196956192,3.3047361818711174,0.0022773336977067247,2.0952891386251653,0.004359749052844518,0.03995893500251549,0.18363679135657374,0.0,0.002200539572303129,9.521260214158351,5.960605117511494,0.6469222946612608,9.565261668043819,5.039088773396402,0.23754780433878722,0.1888048505949572,1.7334055497232868,0.002250822675687964,11.486694141825497,3.688166648559727,2.439737425658638,19.29854766577509,0.24027016152914493,0.22755690995057024,10.196329044487442,0.19586153467482903,0.002250822675687964,1.1063660492711198,0.12098790677121417,1.4542613015002663,4.400375567076071,0.26651135582275143,0.10016358936407281,0.6887125638174378,2.7398404661527054,0.8055318021823248,2.378503905201836,0.7021330033273198,0.14501100194695415,8.320679635339461,3.4174526865526293,8.010382916515299,9.089828978453967,4.043674389661974,3.6921021739966964
B3,6.984169999067185,3.949745857981377,13.27507369805393,37.06666666666667,0.0645,0.7238333333333333,0.15716666666666665,0.0195,0.034833333333333334,0.17313333333333333,0.3345,0.30616666666666664,0.18366666666666667,0.20299999999999999,11.60711269843919,0.0,0.11124253589150257,0.19267380147471005,5.8312213881244555,1.4038827404935346,2.074827479533741,0.0,0.019199182952464842,0.013735509037964949,1.0520388304294095,2.310037889426051,1.2640158903620053,1.101154498801984,1.4848187426992876,14.368262519017932,0.11651060161844536,0.3707432460296231,0.0688250855810596,2.4965113519171718,0.9913679551317812,2.7935345483240046,7.294309827740957,0.0,4.76226514181663,0.0,0.07750006798174779,0.5266559715943248,0.006513978998931708,0.006461952026468155,26.67245750766894,16.71056998665102,3.191079273591106,13.85852434432512,8.735556561632977,0.8592940818793459,0.5270613517502032,1.0854503112540164,0.006513978998931708,23.478276262375484,12.610887610049069,6.508414549525782,37.20353327962129,0.7140351823262409,0.5301307549700195,19.619724362138435,0.27733245477194574,0.04653481894272251,3.2492583737318785,0.23984010562616345,2.0811253204315814,9.887996853021965,0.7136092214216196,0.019437883051868016,1.2419738540146106,6.044545978944712,2.3602193555332684,4.850676805615211,1.7694513744216398,0.3966453441565567,18.165606783911105,7.647782914441329,19.24756748185585,26.807096829071284,8.484070573293115,4.878209785345581
C11,6.9543683772314155,3.935198605721086,13.067815575052819,33.13333333333333,0.21983333333333333,0.43083333333333335,0.18516666666666667,0.10099999999999999,0.063,0.19095000000000004,0.29083333333333333,0.23416666666666666,0.27166666666666667,0.22766666666666666,2.135625488979208,0.0,0.01592251469198696,0.06376131388597041,1.579688548031544,0.30695589325373995,0.42849576789568977,0.0,0.00928765845813912,0.0,0.3530767425691803,0.7826916727518513,0.456024451726488,0.21973956561704808,0.35902131098531664,3.9376403811353757,0.06112752069026251,0.07328924716952487,0.016113013140467168,0.5552901746082832,0.21412188484094577,0.5119807544494804,1.7032504909727006,0.002646615904573617,0.8708556550791328,0.009431931380243506,0.019845463882357885,0.0666384347647512,0.0013233079522868086,0.0,5.761950794192463,3.2818855288384623,0.3902009281435337,5.099948391759722,2.6985108310607298,0.30828577763425485,0.1986396017372313,0.04659359546314177,0.002669613920434827,6.671992747532417,2.0095206731190696,1.2249421301471468,10.581002160262404,0.11426107848227891,0.14393262187851716,4.6353387650001725,0.05709338554423512,0.0013132769674858889,0.6331532830219866,0.058354054433776746,0.8481599182732268,2.164791366152859,0.23172147241253463,0.08907771637415796,0.3573701005519516,1.5016406454928326,0.536698158877966,1.2591344915888,0.2231586717304781,0.09860886157808962,4.204144510514695,2.5837179656424394,4.759928007805577,4.975175635401864,1.6872602607662979,1.881792260177166
C6,6.992721047336793,3.969458221770663,12.7684133131928,32.15326898900599,0.773606832782542,0.05252903106058606,0.09993008148868521,0.052458819441651504,0.021452868253348217,0.07940619880733753,0.14951896989650032,0.12372798548539331,0.6426072971030562,0.1451669910397245,3.308172566318836,0.0,0.028997238851719495,0.1746566237237188,2.729669213154001,0.6395272152504103,0.36552873032725475,0.0,0.05361702271494188,0.0,0.8345423185522888,1.6238169118187429,0.5926743473150196,0.4895805196985273,1.0570170712623952,9.119377121531635,0.23017899823070676,0.1675170173281546,0.012338755218941616,0.7749446539966178,0.30237596995722255,0.5363341220324769,3.0260417028835302,0.0,1.5907241115634676,0.23649050945308325,0.021098320319379107,0.046033458810247306,0.0,0.0,9.038002795956201,4.437493763695961,0.1300955992634286,12.63837681319697,6.203743140133919,0.28855819091566487,1.5021533110806047,0.1864396146019741,0.0,10.908060096823037,1.2159164150955188,0.6474628007605693,16.592766013000276,0.22844396522422786,0.1648726824225747,6.760308081216144,0.1754138264666639,0.021068537717271987,1.2527467988613223,0.16597470334112993,2.0498621225611244,4.431602014712972,0.5031790468134245,0.07855438412249736,0.5595558391428858,1.9934183418371632,0.3737938689164863,1.5917267330502824,0.24883987646207664,0.13962310166411573,6.852138751913416,8.755470773820823,7.343610608986875,3.470134980979505,1.363744349025094,3.342218978389224
D14,7.051409422240667,3.976168901727721,12.820424594453181,28.934509253407587,0.6204947887290185,0.04633670955869193,0.11737736460332353,0.17476170186236453,0.04081666810478093,0.07660984206245229,0.11828239698371723,0.13170155415991155,0.6736459636715156,0.2258059218221624,1.1349928569941958,0.0,0.018280648627901797,0.18601994351797035,1.0520750516867965,0.12184828325741455,0.07191407553948352,0.0,0.0334608339145635,0.0,0.24766449337353477,0.7268085963789198,0.456367366931163,0.21435064026255313,0.3406619532340846,1.9218671464311627,0.0978918063175727,0.15467795752187755,0.0046339558961927445,0.626324729044024,0.12169653326871849,0.16213048728655663,2.256026301757735,0.0,0.9445602768715573,0.0,0.011889989012244686,0.006954633715549005,0.00946232945235783,0.0,4.759215258596021,2.730182449692213,0.18883808065197671,6.417139351168724,2.3317264008605108,0.1499834183090539,0.6519536609243589,0.13008628076398485,0.0,5.939270091645294,1.0020328888175714,0.5884425466872555,9.296288704965407,0.08748350897136747,0.1550147543566416,2.8902965552598068,0.12511757357533745,0.020944597927472577,0.4430615341325044,0.03512291532733023,1.1206899519118696,2.1603319394867113,0.4035555776785922,0.10930970394406474,0.17169244405684017,2.5946854369342853,0.19790082270752432,0.5619750164365335,0.1941451250087054,0.09393245864682309,3.086758808856283,5.144273541471237,3.5981287638462702,1.7600913755550591,0.9177044557092082,0.6569672122552371
D4,7.006983514866334,3.955506739000754,12.983867580381682,30.529932632538586,0.6074776686639366,0.0733352201247196,0.11570691440669377,0.16730597713117398,0.03640617754950514,0.07496833440645882,0.09016544474728694,0.10638477426843791,0.7293933699467566,0.2648641664698126,2.659814042149061,0.00403564629120983,0.033831896574112966,0.13506452700804877,1.8140482930193966,0.2768463667330258,0.14618483533387977,0.0,0.039866823175133605,0.0,0.9162869926654863,1.5848578803996995,0.6212393458649524,0.30391132090423084,0.9365515559962114,4.705978994607217,0.1904014157067561,0.16272045231766785,0.00980305810748316,0.542305496265449,0.14882030605401295,0.3226032995013266,3.326952432284982,0.0,1.0734366738108088,0.00201254216275831,0.01410884714734375,0.02614595200975146,0.0,0.0,6.5212414374858225,3.835981565279823,0.1052187081430878,22.473022498187124,5.70874774108885,0.1034398146512573,0.9534335238705264,0.3410607412731698,0.00201254216275831,7.225306191664121,1.0756705856180802,0.6573577954043666,9.644811623520855,0.07689802546423934,0.1465626751652187,5.428654470137836,0.20737179389960506,0.016069609389325414,0.8181672309306989,0.10368577370060028,1.7939639310711535,5.299132387809711,0.40657220685965845,0.04638147736803452,0.7030061267886696,1.9933796404124642,0.3174601504810383,1.7050758990491355,0.09460148543602143,0.07926215666063863,6.42933380895868,5.649420419812087,5.130293052514783,2.1663384005184763,1.369630856193406,2.9042078408033642
E13,6.97081289852587,3.8797551371046546,13.350468123925436,34.1,0.5471666666666667,0.119,0.23550000000000001,0.05833333333333333,0.0385,0.07948333333333334,0.13549999999999998,0.1386666666666667,0.6455000000000001,0.15083333333333335,2.432838888295398,0.0,0.02531299129697906,0.07096442645111045,1.6639228044581682,0.2704465168203697,0.43940792305581294,0.0,0.008172382184206357,0.0,0.42906997257760887,0.9038673855383598,0.7117699588262907,0.3836116601285231,0.4748199831926403,5.687875322355768,0.05445841273526017,0.09954939643074186,0.01643892032429019,0.7387491401121503,0.19180077318612065,0.5178837221075723,2.752678754296079,0.016957487578640348,1.2684869213925334,0.0,0.016841580100013683,0.08304794673816829,0.0,0.0,6.771060037858956,4.39997597968026,0.2946030925523753,8.47393920057524,5.241138575544699,0.1584193558826558,0.22943446543148938,0.11354938233381694,0.004239371894660087,9.916249495676068,1.8642808506492294,0.9215583332813857,13.186113820991098,0.09628420885871708,0.16399067284798177,5.748415278337036,0.16679121520955684,0.004239371894660087,0.6817835826266793,0.054488158996037005,1.765820574725952,2.7872470486022323,0.43777471135463025,0.004254305357021306,0.39799459577148916,2.6927525626659796,0.3064047716529027,1.4415966311420176,0.3184787415268822,0.11981649265421375,4.876632873557124,5.2395946123517785,4.924821202695344,3.472187572197173,2.4983916773303396,2.159070075500068
E18,6.976089615184819,3.8790400511976633,13.280176663134512,38.96666666666667,0.24250000000000002,0.4578333333333333,0.24533333333333332,0.0185,0.03566666666666667,0.12833333333333333,0.286,0.30116666666666664,0.28099999999999997,0.12033333333333333,2.183769669295226,0.0046138655888676655,0.014591345659335316,0.15008704921597563,1.6683941052277984,0.32947688300483363,0.20451401859119653,0.0,0.02751495323770617,0.013841596766602994,0.5276891542987582,1.1638548935925124,0.5331310758996746,0.5719276349512238,0.5270465469453621,4.123806841027343,0.23710866277144985,0.1167216584957253,0.0535069749103231,1.0413948886577569,0.34071969154480164,0.35982756061191346,4.084230112619372,0.00468362137604796,2.3807658629814172,0.0,0.04055895969543783,0.05514870855782936,0.0,0.0,9.318192959671597,7.7892597711673375,0.9170677578687583,7.300767193950411,3.573684539891175,0.2811792536327241,0.17672721758695809,0.00936724275209592,0.0046138655888676655,11.992095975528324,3.0340866151006796,1.2607658899481955,15.938921376144869,0.20509771861490667,0.17342544725937967,6.709266844424628,0.14552669255452594,0.00865435059642588,0.5121844985400159,0.03687605178252456,1.7395208358529148,4.229172505749944,0.4750443772676,0.008895713977179932,0.30458633804885576,1.9537165034914805,0.6473922097763167,1.0979058954813217,0.3885702911282349,0.17227495731208597,4.795964988589841,2.118176109961061,5.568349251658468,6.475935579670694,2.2593440736691357,1.1351116575575992
E5,7.016396551765936,3.901270020693889,12.98016283930304,40.959400238740436,0.6034108527362386,0.15162001132621092,0.16374329967070278,0.05042277816293154,0.031090426892791973,0.08293555024666267,0.20551373404963139,0.20810982702910252,0.501613092107412,0.08930587676607847,0.8808950733885069,0.0,0.02673119827491666,0.07281516698939663,0.7181278412723603,0.09582157069360685,0.05608662784340615,0.0,0.0,0.0,0.21263350671732828,0.6987437871890796,0.3196978003514453,0.3707142235147769,0.2701192184472918,1.9812005465890568,0.05598199172734055,0.045286460153590745,0.010938465661421674,0.4740903510436172,0.19503073461829,0.13329747742133094,2.7218579687598514,0.0,0.9272188093706815,0.0,0.013315693736057845,0.005352521784367942,0.002688562318185973,0.0,4.5408576014504805,1.8570065878782913,0.19217363839143684,3.4629103469077673,1.9689028134384652,0.11149136997476532,0.14911227561386717,0.034766836562304025,0.002688562318185973,6.269207336095367,1.0419261683859953,0.3409160904936532,7.162409264032644,0.03464242290749904,0.0959822147239216,3.100497403488046,0.08282309588691372,0.026542453595498536,0.6039931418843247,0.010705490975507404,1.0668824989771837,1.5290820737279354,0.3066091425168282,0.0026102027605504397,0.10124425902066635,0.9363865861371816,0.16046779725313115,0.3964254221526151,0.18612244047452142,0.10188493865969168,2.130030204857227,1.2416503829808392,2.5989892946363984,2.1421777699142024,0.9555486091802505,0.4919058791590028
