All_Years,MONTH,DAY_OF_WEEK,HOUR,Median Age,Less than High School,Bachelor's Degree or more,Poverty rate,AIRCRAFT,ARSON,ASSAULT,ASSEMBLY OR GATHERING VIOLATIONS,AUTO THEFT,BALLISTICS,BIOLOGICAL THREAT,BOMB HOAX,BURGLARY,CONFIDENCE GAMES,COUNTERFEITING,DISORDERLY CONDUCT,DRUG VIOLATION,EMBEZZLEMENT,EVADING FARE,EXPLOSIVES,FIRE RELATED REPORTS,FIREARM DISCOVERY / VIOLATIONS,FRAUD,GAMBLING,HARASSMENT,HARBOR RELATED INCIDENTS,HOME INVASION,HOMICIDE,HUMAN TRAFFICKING,INVESTIGATE PERSON,INVESTIGATE PROPERTY,LANDLORD/TENANT DISPUTES,LARCENY,LICENSE PLATE RELATED INCIDENTS,LICENSE VIOLATION,LIQUOR VIOLATION,MANSLAUGHTER,MEDICAL ASSISTANCE,MISSING PERSON REPORTED / LOCATED,MOTOR VEHICLE ACCIDENT RESPONSE,OFFENSES AGAINST CHILD / FAMILY,OPERATING UNDER THE INFLUENCE,OTHER,PHONE CALL COMPLAINTS,POLICE SERVICE INCIDENTS,PRISONER RELATED INCIDENTS,PROPERTY LOST / FOUND,PROPERTY RELATED DAMAGE,PROSTITUTION,RESTRAINING ORDER VIOLATIONS,ROBBERY,SEARCH WARRANTS,SERVICE,TOWED,VANDALISM,VERBAL DISPUTES,VIOLATIONS,WARRANT ARRESTS
0,7.033407975991718,4.034134306592369,12.51394454917684,32.98614085306902,0.0949945194913594,0.7361185400047255,0.1535066935663665,0.0068813652628681,0.0523935753544586,18.347000238028738,0.9860763917857462,2.386012635927033,0.1275827820181,0.0116396916641469,0.1075408133554289,3.01067187072802,2.511930823598895,0.8375491891475142,2.644447834476525,9.929156415068135,0.2729197098365014,0.4000724318913294,0.0068813652628681,0.8966214894983587,1.0356220664995035,5.486446285061651,0.0,1.754148758197278,0.1300840328440824,0.0038962658188392,0.0312015153322051,0.0,9.10502716653802,8.158306948241895,0.1334166018129948,35.157175504576095,0.111549205448194,3.637313412865924,0.7610514440887592,0.0,12.81331275124538,1.1972903441627338,14.372186449129408,0.0505521806026363,0.188816488167235,10.183431261005902,0.0153284619942491,2.484162118060741,0.2438095983876474,15.02552493477205,0.4216547394913398,0.2078617671154903,0.4386523201860306,3.255942259094644,0.2619582750357451,0.0799638154242442,7.239948216620097,7.067827049286275,1.5946395558308308,1.8184164990899896,6.784553402434875
1,6.986808173790759,3.915920981739177,13.08174182716939,32.78690185068152,0.14658863507915706,0.4982958594009698,0.19222785103109913,0.04402246240510766,0.02270833453260026,5.788988258097682,0.09810183738805463,1.5809803676175793,0.2340288496698471,0.0,0.02112025109792478,2.2797999811828795,0.7185574416978745,0.4163310403619448,0.41250468482722,3.910140126561683,0.0696900261343118,0.1017207158885854,0.014024599706048501,0.6158180374383599,0.5387349301861312,2.2061141224221457,0.003920820696642779,1.3157378402031248,0.05701860182172456,0.01185465838564982,0.0434624368754854,0.0021571274809289204,5.760399510735725,3.092767771368431,0.25718299308425735,9.755684382325022,0.18657370911811194,0.3571182028782588,0.08032139743348234,0.00208707049169748,7.302263550441445,2.1181088741141534,10.557173752209565,0.10749486492989568,0.1693360306615314,4.1607230614619155,0.00873339736795078,0.9058396619894603,0.05100567510516648,3.559775347129251,0.3325688794651728,0.04126926699002072,0.34558029203935714,1.0891218659520547,0.2223493953357568,0.12335608780115266,4.181176478471912,4.571668896965686,3.0907903259597633,1.5461757471033484,1.4373811462363144
2,6.929485332916232,3.913553456777164,13.237799047357242,30.09726664426886,0.2063614846426375,0.31970257622729,0.3487819599386468,0.0086707332405564,0.074676722112368,13.92412781496588,1.148444241405998,3.355045128290645,0.907930813204441,0.0,0.0420835004310534,3.438234206528428,1.0118182323247822,0.5577991141603518,0.9854686898743176,7.695855732184562,0.0508850385606672,0.1454210442531325,0.0220096908349874,0.9573758413211,1.8498286040667,3.3047361818711174,0.0022773336977067,2.7081157707068115,0.0043597490528445,0.0399589350025154,0.1836367913565737,0.0022005395723031,9.521260214158351,5.960605117511494,0.6469222946612608,14.60435044144022,0.2375478043387872,0.1888048505949572,1.7334055497232868,0.0022508226756879,11.486694141825495,6.127904074218365,19.29854766577509,0.2402701615291449,0.2275569099505702,10.196329044487442,0.0022508226756879,1.1063660492711198,0.1209879067712141,6.543349432393775,0.2665113558227514,0.1001635893640728,0.8055318021823248,2.378503905201836,0.7021330033273198,0.1450110019469541,3.4174526865526293,8.010382916515299,9.089828978453967,4.043674389661974,3.692102173996696
3,6.984169999067185,3.949745857981377,13.27507369805393,37.06666666666667,0.1731333333333333,0.1836666666666666,0.2029999999999999,0.0,0.1112425358915025,29.772719482350297,0.19267380147471,7.235104128617991,2.074827479533741,0.0,0.0191991829524648,7.387652773184033,2.310037889426051,1.2640158903620051,1.4848187426992876,14.368262519017932,0.1165106016184453,0.3707432460296231,0.0688250855810596,2.496511351917172,3.784902503455786,7.294309827740957,0.0,5.863419640618614,0.0,0.0775000679817477,0.5266559715943248,0.0129759310253998,26.67245750766894,16.71056998665102,3.191079273591106,22.594080905958094,0.8592940818793459,0.5270613517502032,1.0854503112540164,0.0065139789989317,23.478276262375484,19.11930215957485,37.20353327962129,0.7140351823262409,0.5301307549700195,19.619724362138435,0.0465348189427225,3.2492583737318785,0.2398401056261634,13.211096027468155,0.7136092214216196,0.019437883051868,2.3602193555332684,4.850676805615211,1.7694513744216398,0.3966453441565567,7.647782914441329,19.24756748185585,26.807096829071284,8.484070573293115,4.878209785345581
4,6.992721047336793,3.969458221770663,12.7684133131928,32.15326898900599,0.0794061988073375,0.6426072971030562,0.1451669910397245,0.0,0.0289972388517194,10.160311318232251,0.1746566237237188,3.369196428404412,0.3655287303272547,0.0,0.0536170227149418,3.003374486856116,1.6238169118187429,0.5926743473150196,1.0570170712623952,9.119377121531636,0.2301789982307067,0.1675170173281546,0.0123387552189416,0.7749446539966178,0.8387100919896994,3.0260417028835302,0.0,2.080304631261995,0.2364905094530832,0.0210983203193791,0.0460334588102473,0.0,9.0380027959562,4.437493763695961,0.1300955992634286,18.842119953330887,0.2885581909156648,1.502153311080605,0.1864396146019741,0.0,10.908060096823036,1.863379215856088,16.592766013000276,0.2284439652242278,0.1648726824225747,6.760308081216144,0.0210685377172719,1.2527467988613223,0.1659747033411299,7.041019976416982,0.5031790468134245,0.0785543841224973,0.3737938689164863,1.5917267330502824,0.2488398764620766,0.1396231016641157,8.755470773820823,7.343610608986875,3.470134980979505,1.363744349025094,3.342218978389224
5,7.006983514866334,3.955506739000754,12.983867580381682,30.529932632538586,0.0749683344064588,0.7293933699467566,0.2648641664698126,0.0040356462912098,0.0338318965741129,9.08914785110774,0.1350645270080487,2.0908946597524225,0.1461848353338797,0.0,0.0398668231751336,3.117038426977556,1.5848578803996995,0.6212393458649524,0.9365515559962114,4.705978994607217,0.1904014157067561,0.1627204523176678,0.0098030581074831,0.542305496265449,0.4714236055553395,3.326952432284982,0.0,1.3773479947150395,0.0020125421627583,0.0141088471473437,0.0261459520097514,0.0,6.521241437485823,3.835981565279823,0.1052187081430878,28.181770239275977,0.1034398146512573,0.9534335238705264,0.3410607412731698,0.0020125421627583,7.225306191664121,1.7330283810224467,9.644811623520855,0.0768980254642393,0.1465626751652187,5.428654470137836,0.0160696093893254,0.8181672309306989,0.1036857737006002,7.796102445669534,0.4065722068596584,0.0463814773680345,0.3174601504810383,1.7050758990491357,0.0946014854360214,0.0792621566606386,5.649420419812087,5.130293052514783,2.1663384005184763,1.369630856193406,2.904207840803364
6,6.976089615184819,3.8790400511976633,13.280176663134512,38.96666666666667,0.1283333333333333,0.2809999999999999,0.1203333333333333,0.0046138655888676,0.0145913456593353,6.979734657885068,0.1500870492159756,1.997870988232632,0.2045140185911965,0.0,0.0275149532377061,2.640773947111368,1.1638548935925124,0.5331310758996746,0.5270465469453621,4.123806841027343,0.2371086627714498,0.1167216584957253,0.0535069749103231,1.0413948886577569,0.700547252156715,4.084230112619372,0.0046836213760479,2.952693497932641,0.0,0.0405589596954378,0.0551487085578293,0.0,9.318192959671595,7.7892597711673375,0.9170677578687584,10.874451733841587,0.2811792536327241,0.176727217586958,0.0093672427520959,0.0046138655888676,11.992095975528324,4.294852505048875,15.938921376144869,0.2050977186149066,0.1734254472593796,6.709266844424628,0.0086543505964258,0.5121844985400159,0.0368760517825245,6.273279679651715,0.4750443772676,0.0088957139771799,0.6473922097763167,1.0979058954813217,0.3885702911282349,0.1722749573120859,2.118176109961061,5.568349251658468,6.475935579670694,2.259344073669136,1.1351116575575992
7,7.016396551765936,3.901270020693889,12.98016283930304,40.95940023874044,0.0829355502466626,0.501613092107412,0.0893058767660784,0.0,0.0267311982749166,3.010925278245734,0.0728151669893966,0.8139494119659672,0.0560866278434061,0.0,0.0,1.2318431887414236,0.6987437871890796,0.3196978003514453,0.2701192184472918,1.9812005465890568,0.0559819917273405,0.0452864601535907,0.0109384656614216,0.4740903510436172,0.328328212039621,2.7218579687598514,0.0,1.2979330328854584,0.0,0.0133156937360578,0.0053525217843679,0.0026885623181859,4.5408576014504805,1.8570065878782915,0.1921736383914368,5.431813160346233,0.1114913699747653,0.1491122756138671,0.034766836562304,0.0026885623181859,6.269207336095367,1.3828422588796483,7.162409264032644,0.034642422907499,0.0959822147239216,3.100497403488046,0.0265424535954985,0.6039931418843247,0.0107054909755074,2.6972088317257854,0.3066091425168282,0.0026102027605504,0.1604677972531311,0.3964254221526151,0.1861224404745214,0.1018849386596916,1.2416503829808392,2.5989892946363984,2.1421777699142024,0.9555486091802504,0.4919058791590028
